ZCTA5CE20,lon,lat,bw,bs,be,bn
57313,-98.341059,43.297188,-98.5761,43.1835,-98.1894,43.4278
28626,-81.501192,36.292561,-81.5596,36.2403,-81.4328,36.3495
62950,-89.557058,37.750552,-89.6196,37.6696,-89.4905,37.808
28631,-81.416169,36.55055,-81.4773,36.5092,-81.3161,36.5785
44843,-82.40754,40.688497,-82.4648,40.638,-82.3532,40.7511
28649,-81.213383,36.333728,-81.2739,36.2615,-81.1378,36.4074
38554,-85.161011,36.250553,-85.2212,36.1953,-85.1004,36.3148
84058,-111.711957,40.277144,-111.758,40.2398,-111.6816,40.2973
99204,-117.426672,47.647409,-117.4441,47.6405,-117.4105,47.6528
54470,-90.135301,45.29918,-90.2931,45.185,-90.0422,45.4114
04576,-69.668827,43.822789,-69.6904,43.781,-69.6457,43.8539
20687,-76.341684,38.075664,-76.3686,38.0379,-76.3209,38.1053
57718,-103.353429,44.169266,-103.4529,44.1295,-103.2861,44.232
60510,-88.299991,41.846905,-88.4159,41.8109,-88.2109,41.8818
38846,-88.386702,34.85429,-88.4638,34.796,-88.3307,34.9076
67210,-97.277327,37.619751,-97.2988,37.5915,-97.178,37.6503
24657,-81.843282,37.22115,-81.9051,37.1685,-81.8075,37.2722
45433,-84.051639,39.812034,-84.0853,39.7848,-84.0214,39.8419
45440,-84.099938,39.675302,-84.1369,39.6436,-84.0448,39.6993
62935,-88.62541,37.857277,-88.716,37.7584,-88.5439,37.9302
65586,-91.433277,37.868444,-91.4541,37.8427,-91.416,37.8937
24539,-78.928703,36.849357,-78.9565,36.82,-78.8514,36.8867
21102,-76.846466,39.688874,-76.9578,39.636,-76.7323,39.7209
62898,-89.063698,38.348852,-89.1455,38.2714,-88.979,38.4384
48168,-83.53249,42.406583,-83.6458,42.3809,-83.4323,42.4269
50261,-93.924303,41.468702,-94.0178,41.3845,-93.8286,41.5433
35188,-87.173199,33.18328,-87.2314,33.1366,-87.1253,33.2495
65001,-92.001885,38.269479,-92.0751,38.2003,-91.9428,38.3305
65011,-92.708161,38.394927,-92.8261,38.2702,-92.6055,38.5123
45335,-83.728304,39.637817,-83.8586,39.5423,-83.6336,39.7434
45339,-84.342316,40.003611,-84.3942,39.9773,-84.296,40.0489
67108,-97.683836,37.834614,-97.8084,37.7338,-97.525,37.9078
76571,-97.58447,30.933044,-97.7188,30.8361,-97.4433,31.0255
35147,-86.531025,33.408618,-86.6618,33.3354,-86.417,33.5023
21001,-76.198703,39.518393,-76.2601,39.4234,-76.1255,39.5696
25420,-78.115377,39.381428,-78.2064,39.3225,-78.0592,39.4563
44203,-81.628959,41.020528,-81.7039,40.965,-81.5519,41.0805
54437,-90.624292,44.779129,-90.7883,44.6398,-90.5111,44.9152
24549,-79.566238,36.713594,-79.6168,36.6604,-79.3926,36.7707
68847,-99.022716,40.73465,-99.1035,40.5974,-98.9501,40.8734
35228,-86.922544,33.446487,-86.9548,33.427,-86.8846,33.4791
18042,-75.225645,40.638024,-75.2781,40.5945,-75.1768,40.7167
21035,-76.638758,38.936369,-76.6994,38.8869,-76.5802,38.9913
25442,-77.832825,39.370321,-77.8763,39.3251,-77.7902,39.4066
63336,-90.936851,39.334374,-91.0638,39.2578,-90.7982,39.4392
82215,-104.687606,42.490632,-104.8315,42.2713,-104.6546,42.5257
24849,-81.55732,37.67174,-81.6152,37.6463,-81.5131,37.7025
26104,-81.478774,39.272222,-81.5484,39.1991,-81.3847,39.3503
29649,-82.11967,34.25321,-82.268,34.1881,-81.9921,34.3078
23233,-77.63477,37.643392,-77.6788,37.6183,-77.5625,37.6851
35975,-86.066559,34.438325,-86.1569,34.3849,-85.9955,34.4845
25674,-82.353493,37.871863,-82.4371,37.8057,-82.2127,37.9299
67135,-97.426492,37.926324,-97.6287,37.825,-97.2632,37.9994
50027,-92.47329,41.477425,-92.5582,41.4231,-92.4118,41.5152
53179,-88.136872,42.512498,-88.1814,42.4958,-88.0789,42.5418
44601,-81.127798,40.919781,-81.2537,40.8431,-81.0123,40.9884
34434,-82.446079,28.999464,-82.4858,28.9429,-82.3496,29.0477
66212,-94.681541,38.956305,-94.7053,38.9329,-94.657,38.979
38701,-91.082657,33.326891,-91.1437,33.212,-90.8943,33.443
38771,-90.507978,33.734023,-90.6128,33.6788,-90.4514,33.8129
64645,-93.324304,40.295262,-93.4531,40.2082,-93.1958,40.368
64454,-94.582989,39.605831,-94.7179,39.5398,-94.4942,39.6892
75415,-95.74742,33.464307,-95.7968,33.4261,-95.6866,33.4954
72626,-92.55538,36.324485,-92.5754,36.2625,-92.5041,36.3365
14769,-79.47743,42.364389,-79.4989,42.3346,-79.4459,42.4075
06103,-72.670125,41.764859,-72.6835,41.7512,-72.654,41.776
06032,-72.831487,41.725287,-72.897,41.6878,-72.7574,41.7637
00688,-66.626244,18.376043,-66.6792,18.3246,-66.5824,18.4402
79086,-101.760734,36.075015,-101.963,35.8933,-101.6231,36.5004
62691,-90.222457,39.957308,-90.3492,39.873,-90.112,40.0621
62692,-89.943334,39.591006,-90.0748,39.5211,-89.8134,39.6716
28412,-77.920196,34.151116,-77.9586,34.0503,-77.883,34.2012
00735,-65.668249,18.251687,-65.7668,18.1997,-65.5903,18.2968
94015,-122.483933,37.681111,-122.5024,37.6485,-122.4504,37.7082
92203,-116.241387,33.75257,-116.3056,33.715,-116.1642,33.7954
54611,-90.949266,44.449721,-91.0443,44.3609,-90.8623,44.5355
90035,-118.379436,34.050898,-118.4107,34.0403,-118.3649,34.063
95422,-122.625862,38.972184,-122.742,38.9198,-122.558,39.023
91723,-117.886206,34.085591,-117.9033,34.0735,-117.8724,34.0994
66508,-96.641345,39.857421,-96.7882,39.7398,-96.4825,40.0013
65452,-92.266867,37.962753,-92.4068,37.8629,-92.1565,38.0677
39776,-89.061989,33.787343,-89.1906,33.7107,-88.8568,33.8565
72026,-91.319417,34.510862,-91.3623,34.4543,-91.2606,34.5629
72175,-91.754707,34.338257,-91.8226,34.2639,-91.6938,34.3958
58210,-98.069986,48.408844,-98.3184,48.2816,-97.9476,48.5433
58723,-100.602824,47.754592,-100.8002,47.6539,-100.3274,47.8622
58496,-99.289008,47.140753,-99.4813,46.9798,-99.122,47.327
07601,-74.047583,40.889531,-74.0683,40.8586,-74.0248,40.9135
15545,-78.779461,39.769612,-78.8857,39.7228,-78.7133,39.8726
48032,-82.594573,43.132777,-82.6637,43.0772,-82.525,43.1989
85378,-112.315496,33.641123,-112.3568,33.6235,-112.2985,33.6677
25031,-81.280514,38.146517,-81.296,38.1302,-81.2636,38.1603
45070,-84.55854,39.589985,-84.564,39.5822,-84.551,39.5954
63853,-89.869405,36.057455,-89.8735,36.0515,-89.8596,36.0641
77598,-95.128683,29.530367,-95.1841,29.4985,-95.0937,29.5964
94618,-122.244741,37.843516,-122.2624,37.8297,-122.2156,37.8601
10312,-74.180885,40.545005,-74.2132,40.5195,-74.1462,40.5763
94118,-122.464082,37.780298,-122.4842,37.7675,-122.4444,37.7929
23872,-77.693661,36.970394,-77.8936,36.8738,-77.5808,37.0844
38231,-88.426131,36.202735,-88.5106,36.1488,-88.3219,36.2904
28455,-78.626532,34.101898,-78.7064,34.0221,-78.5388,34.1971
39572,-89.598957,30.251882,-89.6326,30.2088,-89.5602,30.2832
10984,-74.020092,41.209284,-74.0351,41.1963,-74.0003,41.2204
25315,-81.588325,38.194423,-81.6336,38.1371,-81.5223,38.2815
03887,-71.066198,43.48487,-71.1115,43.426,-71.0152,43.5383
03875,-71.186844,43.902961,-71.2428,43.8312,-71.1471,43.9585
03052,-71.454998,42.843018,-71.4862,42.7965,-71.4218,42.9046
03031,-71.60681,42.870315,-71.6667,42.7982,-71.558,42.9433
66514,-96.866213,39.120195,-96.9178,39.0722,-96.831,39.1874
44685,-81.408987,40.961303,-81.523,40.9182,-81.3457,41.0018
72346,-90.478187,35.098424,-90.6115,34.9904,-90.4003,35.193
74932,-94.53491,35.153826,-94.657,35.0798,-94.4388,35.2172
27881,-77.441136,35.970366,-77.4473,35.9679,-77.4369,35.9722
08251,-74.925855,39.029784,-74.9567,38.9946,-74.8986,39.064
85253,-111.95827,33.545166,-112.0131,33.5078,-111.9164,33.5827
85716,-110.923507,32.242222,-110.9438,32.2069,-110.9092,32.2842
33510,-82.30172,27.955471,-82.3281,27.9377,-82.2611,27.9794
69331,-102.987935,41.878819,-103.157,41.6847,-102.6846,42.0032
26619,-80.735517,38.775203,-80.8087,38.7128,-80.6636,38.8355
68664,-96.786836,41.704568,-96.7949,41.699,-96.7764,41.71
67761,-101.518932,38.955967,-101.7422,38.6999,-101.3135,39.1348
92649,-118.043637,33.716791,-118.0828,33.6996,-118.0224,33.7444
91411,-118.459564,34.178535,-118.474,34.1648,-118.4487,34.1939
95670,-121.288642,38.601305,-121.3308,38.5667,-121.2062,38.6404
65745,-93.967191,36.531429,-94.1637,36.4986,-93.8336,36.5878
23876,-77.833439,36.958566,-77.9306,36.9056,-77.738,36.996
71758,-92.91386,33.308846,-92.9822,33.228,-92.8336,33.3771
71836,-94.398303,33.71266,-94.4859,33.5432,-94.2784,33.8815
04579,-69.768705,43.962174,-69.8394,43.8852,-69.7001,44.026
04547,-69.309811,44.009246,-69.3847,43.8957,-69.2767,44.059
04942,-69.587989,45.047191,-69.773,44.9099,-69.4677,45.1997
16423,-80.365898,42.010931,-80.388,41.9881,-80.287,42.048
68745,-97.082068,42.42687,-97.213,42.3224,-96.9957,42.5906
68331,-96.708152,40.475874,-96.7988,40.4072,-96.6189,40.5235
68876,-98.727541,40.858932,-98.848,40.6664,-98.6646,40.9459
66516,-95.722837,39.619734,-95.789,39.5286,-95.6258,39.7057
34609,-82.510529,28.478476,-82.5487,28.4337,-82.4767,28.5338
62867,-88.115395,37.923893,-88.1816,37.8051,-88.0134,37.9807
64422,-94.500607,39.900342,-94.5753,39.8352,-94.4146,39.9667
64424,-94.03552,40.261288,-94.1838,40.134,-93.8586,40.3829
68757,-96.921996,42.649017,-97.0741,42.5393,-96.7807,42.7616
32305,-84.300774,30.344146,-84.433,30.2734,-84.1095,30.4126
33308,-80.108594,26.189538,-80.1231,26.1592,-80.0929,26.2118
32953,-80.699162,28.456128,-80.7579,28.3563,-80.6246,28.5262
19802,-75.528726,39.757152,-75.5525,39.738,-75.5034,39.7772
19960,-75.411502,38.854346,-75.4899,38.8066,-75.3243,38.8953
84606,-111.632837,40.211837,-111.659,40.1833,-111.5827,40.2525
61876,-87.836224,39.901883,-87.919,39.8508,-87.7713,39.9905
63937,-90.761778,36.945736,-90.9056,36.8115,-90.5662,37.0522
64647,-93.968624,40.030156,-94.0711,39.9647,-93.8721,40.0957
43972,-80.975026,40.102497,-80.9784,40.0967,-80.9694,40.1044
29634,-82.840973,34.675221,-82.8556,34.6668,-82.8177,34.6828
43985,-81.132094,40.160523,-81.1416,40.1553,-81.1184,40.1711
72051,-92.318471,35.807355,-92.3701,35.7132,-92.2583,35.8531
72044,-92.162926,35.672711,-92.2416,35.5908,-92.0534,35.762
73061,-96.992264,36.329666,-97.1573,36.2465,-96.9249,36.4642
02892,-71.603939,41.49337,-71.6603,41.4467,-71.5176,41.5787
29329,-81.836084,34.993331,-81.845,34.9852,-81.8306,35.0005
19435,-75.567237,40.327138,-75.5788,40.3169,-75.5412,40.3407
02189,-70.930206,42.209432,-70.95,42.1823,-70.9147,42.2464
02067,-71.18092,42.109423,-71.2389,42.0574,-71.1311,42.1634
01952,-70.863185,42.843125,-70.9146,42.8123,-70.8105,42.8866
69153,-101.678711,41.094337,-101.8425,40.9155,-101.4427,41.2345
68073,-96.409305,41.239312,-96.464,41.1467,-96.3247,41.3209
76093,-97.403376,32.225651,-97.4909,32.146,-97.3184,32.2667
10458,-73.886538,40.862434,-73.8999,40.8509,-73.8739,40.8784
45619,-82.441734,38.467418,-82.5307,38.4179,-82.393,38.5454
68960,-99.139012,40.087111,-99.205,40.0019,-99.0662,40.1764
69001,-100.63307,40.198071,-100.8906,40.0019,-100.477,40.5264
65715,-92.576735,36.735861,-92.6226,36.7002,-92.526,36.7684
68760,-98.252491,42.806501,-98.3103,42.6535,-97.7595,42.8826
66940,-97.454756,39.79798,-97.5572,39.7407,-97.3686,39.898
33579,-82.283761,27.795852,-82.3351,27.7628,-82.2248,27.8252
34210,-82.627695,27.440236,-82.6924,27.3893,-82.5915,27.4807
32601,-82.325072,29.648863,-82.3405,29.6161,-82.3018,29.67
46204,-86.157029,39.771338,-86.1758,39.7612,-86.1422,39.7843
47441,-87.1743,39.039732,-87.241,38.9489,-87.0905,39.1265
86411,-113.739714,35.521369,-113.9338,35.2261,-113.4717,35.7309
73644,-99.424153,35.40301,-99.5758,35.2189,-99.3114,35.5807
73503,-98.496417,34.674171,-98.6327,34.6379,-98.3522,34.725
33881,-81.699276,28.051766,-81.7835,28.0167,-81.6339,28.1056
74422,-95.701034,35.650512,-95.7907,35.5517,-95.5442,35.7246
73432,-96.440148,34.243929,-96.5488,34.1573,-96.3029,34.3346
22443,-76.994623,38.179207,-77.0647,38.0771,-76.905,38.2774
20609,-76.732084,38.278883,-76.7897,38.2326,-76.7115,38.3151
12177,-74.284402,42.951075,-74.2979,42.9443,-74.2726,42.9575
95391,-121.595427,37.763358,-121.6725,37.7337,-121.5132,37.8174
52140,-91.530171,43.442549,-91.6709,43.3594,-91.4119,43.5007
67025,-97.789805,37.64475,-97.9003,37.5327,-97.6699,37.7491
92676,-117.634,33.75186,-117.7614,33.6739,-117.5339,33.851
95616,-121.762245,38.553868,-121.8771,38.5173,-121.7261,38.5907
94131,-122.436093,37.74105,-122.4638,37.7283,-122.4243,37.7641
94085,-122.017774,37.388732,-122.0501,37.3765,-121.987,37.403
68764,-98.237799,42.399073,-98.3592,42.2627,-98.1068,42.553
65724,-93.315944,37.835934,-93.3751,37.7933,-93.2344,37.9013
43942,-80.850171,39.856148,-80.9193,39.8232,-80.7902,39.9082
46163,-85.908211,39.732695,-85.9611,39.6825,-85.8382,39.7779
46304,-87.049047,41.613114,-87.1465,41.5499,-86.9515,41.6815
23844,-77.340054,36.675782,-77.4334,36.5699,-77.2501,36.7238
74756,-95.364194,34.041704,-95.4638,33.9811,-95.3082,34.1441
74829,-96.472825,35.51298,-96.5475,35.4287,-96.3966,35.5956
73009,-98.372442,35.28766,-98.5003,35.187,-98.2627,35.3628
28396,-79.401967,34.939616,-79.5177,34.824,-79.3373,35.0436
54537,-90.597985,45.541737,-90.6634,45.3774,-90.5549,45.682
73666,-99.933077,35.423935,-100.0004,35.2724,-99.7903,35.5525
70508,-92.029836,30.157825,-92.0909,30.0998,-91.9765,30.2171
74936,-94.718792,35.389679,-94.806,35.3539,-94.6609,35.4355
57568,-100.093422,43.883615,-100.2481,43.6834,-99.9019,44.1224
35457,-87.771813,33.29857,-87.7966,33.2558,-87.7497,33.345
29684,-82.719135,34.380202,-82.8466,34.3132,-82.6087,34.4418
03878,-70.885552,43.253098,-70.9276,43.2234,-70.8392,43.2871
03215,-71.448355,44.0841,-71.628,43.8927,-71.3467,44.1975
24013,-79.923858,37.267174,-79.9415,37.2515,-79.904,37.2795
68966,-99.46547,40.15741,-99.5734,40.0019,-99.3398,40.3084
67342,-95.355172,37.049516,-95.4652,36.9992,-95.2499,37.1471
45647,-82.738023,39.295966,-82.8418,39.2203,-82.6403,39.3682
43943,-80.708562,40.226265,-80.8159,40.1489,-80.6532,40.3079
58788,-100.479973,48.333762,-100.7574,48.1238,-100.1717,48.5746
19136,-75.019315,40.039731,-75.0471,40.016,-74.9866,40.0656
17557,-76.073047,40.08919,-76.1456,40.0512,-75.9956,40.1856
19061,-75.418301,39.818742,-75.4715,39.8019,-75.3898,39.8612
19406,-75.383322,40.097828,-75.4629,40.0631,-75.3249,40.1181
70072,-90.125514,29.83076,-90.2114,29.7403,-90.06,29.9144
71405,-92.396022,31.410411,-92.4474,31.3714,-92.353,31.4455
44449,-81.039323,40.977857,-81.0873,40.9594,-80.9543,41.0076
66088,-95.456298,39.341597,-95.589,39.2597,-95.2907,39.45
65255,-92.231313,39.094783,-92.3487,39.0213,-92.1376,39.1569
59420,-111.020474,47.88459,-111.3247,47.7533,-110.7619,48.0318
76578,-97.254086,30.517912,-97.3203,30.432,-97.141,30.6398
27824,-75.993239,35.57991,-76.1479,35.3589,-75.8824,35.6932
54657,-90.874953,43.194838,-91.0149,43.1334,-90.8011,43.242
34491,-82.055115,28.998283,-82.1452,28.9599,-81.9417,29.0531
68371,-97.784165,40.773041,-97.8831,40.6986,-97.6925,40.8582
68372,-96.617465,40.609377,-96.7024,40.5527,-96.5203,40.6541
33566,-82.168401,27.98317,-82.2056,27.9557,-82.0555,28.037
